"filename", "language", "JSON", "JSON with Comments", "Python", "Markdown", "TypeScript", "CSS", "HTML", "Log", "comment", "blank", "total"
"/Users/shaunaskelton/Desktop/project/README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"/Users/shaunaskelton/Desktop/project/angular.json", "JSON", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105
"/Users/shaunaskelton/Desktop/project/app.log", "Log", 0, 0, 0, 0, 0, 0, 0, 5228, 0, 1, 5229
"/Users/shaunaskelton/Desktop/project/app.py", "Python", 0, 0, 494, 0, 0, 0, 0, 0, 77, 94, 665
"/Users/shaunaskelton/Desktop/project/package-lock.json", "JSON", 31437, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31438
"/Users/shaunaskelton/Desktop/project/package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/shaunaskelton/Desktop/project/src/app/add-book.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/shaunaskelton/Desktop/project/src/app/add-book.component.html", "HTML", 0, 0, 0, 0, 0, 0, 49, 0, 2, 2, 53
"/Users/shaunaskelton/Desktop/project/src/app/add-book.component.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 0, 11, 18, 124
"/Users/shaunaskelton/Desktop/project/src/app/app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/shaunaskelton/Desktop/project/src/app/app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/shaunaskelton/Desktop/project/src/app/app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"/Users/shaunaskelton/Desktop/project/src/app/app.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/Users/shaunaskelton/Desktop/project/src/app/app.module.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 6, 69
"/Users/shaunaskelton/Desktop/project/src/app/book.component.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 4, 11, 52
"/Users/shaunaskelton/Desktop/project/src/app/book.component.html", "HTML", 0, 0, 0, 0, 0, 0, 234, 0, 22, 27, 283
"/Users/shaunaskelton/Desktop/project/src/app/book.component.ts", "TypeScript", 0, 0, 0, 0, 397, 0, 0, 0, 11, 56, 464
"/Users/shaunaskelton/Desktop/project/src/app/books.component.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/shaunaskelton/Desktop/project/src/app/books.component.html", "HTML", 0, 0, 0, 0, 0, 0, 92, 0, 9, 9, 110
"/Users/shaunaskelton/Desktop/project/src/app/books.component.ts", "TypeScript", 0, 0, 0, 0, 153, 0, 0, 0, 20, 22, 195
"/Users/shaunaskelton/Desktop/project/src/app/confirmation-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"/Users/shaunaskelton/Desktop/project/src/app/data-request-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"/Users/shaunaskelton/Desktop/project/src/app/home.component.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"/Users/shaunaskelton/Desktop/project/src/app/home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 126, 0, 14, 8, 148
"/Users/shaunaskelton/Desktop/project/src/app/home.component.ts", "TypeScript", 0, 0, 0, 0, 143, 0, 0, 0, 3, 24, 170
"/Users/shaunaskelton/Desktop/project/src/app/nav.component.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/shaunaskelton/Desktop/project/src/app/nav.component.html", "HTML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 34
"/Users/shaunaskelton/Desktop/project/src/app/nav.component.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"/Users/shaunaskelton/Desktop/project/src/app/profile.component.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/shaunaskelton/Desktop/project/src/app/profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 62, 0, 4, 4, 70
"/Users/shaunaskelton/Desktop/project/src/app/profile.component.ts", "TypeScript", 0, 0, 0, 0, 151, 0, 0, 0, 8, 18, 177
"/Users/shaunaskelton/Desktop/project/src/app/success-modal.component.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 1, 4, 32
"/Users/shaunaskelton/Desktop/project/src/app/web.service.ts", "TypeScript", 0, 0, 0, 0, 192, 0, 0, 0, 4, 41, 237
"/Users/shaunaskelton/Desktop/project/src/index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"/Users/shaunaskelton/Desktop/project/src/main.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5, 10
"/Users/shaunaskelton/Desktop/project/src/styles.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 5
"/Users/shaunaskelton/Desktop/project/tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"/Users/shaunaskelton/Desktop/project/tsconfig.json", "JSON with Comments", 0, 33, 0, 0, 0, 0, 0, 0, 1, 1, 35
"/Users/shaunaskelton/Desktop/project/tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 31615, 33, 494, 14, 1337, 103, 614, 5228, 195, 413, 40046
